method,paper_name,fidelity,code_dir,exists,has_readme,has_requirements,has_go_code,has_python_code,has_validation_doc,has_integration_doc,adapter_status,main_figure_allowed,eligible_now,needs,blockers
LOVO,LOVO,local_reproduction,src/lovo_baseline,1,,,,,,,integrated,1,1,,
SIEVE,SIEVE,ours,src/session_method,1,,,,,,,integrated,1,1,,
VOCAL,EQUI-VOCAL,official,third_party_baselines/official/VOCAL_EquiVOCAL/EQUI-VOCAL-main,1,1,1,0,1,0,1,official_present_not_runnable,0,0,official EQUI-VOCAL environment; PostgreSQL schema conversion; official query_str execution,psql not installed
MIRIS,MIRIS: Fast Object Track Queries in Video,official,third_party_baselines/official/MIRIS/miris-master,1,1,1,1,1,0,1,official_adapted_smoke_runnable,0,0,Go toolchain; MIRIS-format frames/json tracks; trained RNN/GNN models or valid plan,Go not installed; no trained plan/artifacts found
UMT,Unified Multi-modal Transformers,official,third_party_baselines/official/UMT/UMT-main,1,1,1,0,1,0,1,official_present_missing_weights,0,0,separate PyTorch 1.11/torchvision 0.12 environment; official checkpoint; QVHighlights feature files,checkpoint not found
VISA,VideoLISA / VISA label in LOVO paper,official,third_party_baselines/official/VISA_VideoLISA/VideoLISA-main,1,1,0,0,1,0,1,official_present_missing_weights,0,0,separate VideoLISA environment; VideoLISA-3.8B checkpoint; video segmentation output adapter,checkpoint not found
FiGO,Fine-Grained Query Optimization in Video Analytics,reimpl,third_party_baselines/reimpl/FiGO,1,1,0,0,1,1,0,local_reimplementation_present_not_runnable,0,0,complete runtime helpers; DB-window output adapter,"run_baseline_matrix.py, intent_state.py, search_lovo.py, session_search.py not found"
ZELDA,Zelda: Video Analytics using Vision-Language Models,reimpl,third_party_baselines/reimpl/ZELDA,1,1,0,0,1,1,0,local_reimplementation_present_not_runnable,0,0,complete runtime helpers; DB-window output adapter,"run_baseline_matrix.py, intent_state.py, search_lovo.py, session_search.py not found"
VOCALExplore,VOCALExplore,reimpl,third_party_baselines/reimpl/VOCALExplore,1,0,0,0,0,0,0,not_integrated,0,0,paper-step validation report; runtime/accuracy sanity check,
OTIF,OTIF,official,third_party_baselines/official/OTIF/otif-master,1,1,1,1,1,0,0,local_tracking_preprocess_proxy_v1_official_not_integrated,0,0,official OTIF dataset/runtime; local detector-track conversion; official speed-accuracy executor,
GroundingDINO,GroundingDINO,official,third_party_baselines/official/GroundingDINO/GroundingDINO-main,1,1,1,0,1,0,0,official_present_missing_weights,0,0,official checkpoint; frame-sampling detection runner,checkpoint not found
